distributor_name,manager,company,sd,sg,governorate,area,address,phone,serial,page
ﻋﺑد اﻟﻌزﯾز اﻟﺳﻼب,ﯾراد - م / ﻋﺑد اﻟﻌزﯾز اﻟﺳﻼب,ﺷرﻛﺔ اﻟﺳﻼب ﻟﻠﺗﺟﺎرة و اﻻﺳﺗ,Sarrdesign,Sarreguemines,اﻟﻘﺎھرة,ﻣﺻر اﻟﺟدﯾدة,اﻟﻧزھﺔ اﻟﺟدﯾدة: 861 ﺟوزﯾف ﺗﯾﺗو، ﺑﺟوار اﻟﺳﻧدﺑﺎد - اﻟﻧزھﺔ اﻟﺟدﯾدة,22622588 / 26200106,1,1
ﻋﺑد اﻟﻌزﯾز اﻟﺳﻼب,ﯾراد - م / ﻋﺑد اﻟﻌزﯾز اﻟﺳﻼب,ﺷرﻛﺔ اﻟﺳﻼب ﻟﻠﺗﺟﺎرة و اﻻﺳﺗ,Sarrdesign,Sarreguemines,اﻟﺟﯾزة,ش اﻟﺑﺣر اﻻﻋظم,اﻟﺟﯾزة: ﺷﺎرع اﻟﺑﺣر اﻻﻋظم,19601,2,1
ﻋﺑد اﻟﻌزﯾز اﻟﺳﻼب,ﯾراد - م / ﻋﺑد اﻟﻌزﯾز اﻟﺳﻼب,ﺷرﻛﺔ اﻟﺳﻼب ﻟﻠﺗﺟﺎرة و اﻻﺳﺗ,Sarrdesign,Sarreguemines,اﻟﻘﺎھرة,اﻟﺗﺟﻣﻊ اﻟﺧﺎﻣس,اﻟﺗﺟﻣﻊ: ﺷﺎرع اﻟﺗﺳﻌﯾن أﻣﺎم اﻟﺟﺎﻣﻌﺔ اﻷﻣرﯾﻛﯾﺔ - اﻟﺗﺟﻣﻊ اﻟﺧﺎﻣس,19601,3,1
ﻋﺑد اﻟﻌزﯾز اﻟﺳﻼب,ﯾراد - م / ﻋﺑد اﻟﻌزﯾز اﻟﺳﻼب,ﺷرﻛﺔ اﻟﺳﻼب ﻟﻠﺗﺟﺎرة و اﻻﺳﺗ,Sarrdesign,Sarreguemines,اﻟدﻗﮭﻠﯾﺔ,اﻟﻣﻧﺻورة,ﺟزﯾرة اﻟورد: ﺑرج اﻟﺳﻼب - ﺟزﯾرة اﻟورد,050 2389944 / 2397900,4,1
ﻋﺑد اﻟﻌزﯾز اﻟﺳﻼب,ﯾراد - م / ﻋﺑد اﻟﻌزﯾز اﻟﺳﻼب,ﺷرﻛﺔ اﻟﺳﻼب ﻟﻠﺗﺟﺎرة و اﻻﺳﺗ,Sarrdesign,Sarreguemines,اﻟدﻗﮭﻠﯾﺔ,اﻟﻣﻧﺻورة,ﺟزﯾرة اﻟورد - اﻟﻣﺷﺎﯾﺔ اﻟﺳﻔﻠﯾﺔ اﻣﺎن ﻧﺎدى ﺟزﯾرة اﻟورد,502208262,5,1
ﻋﺑد اﻟﻌزﯾز اﻟﺳﻼب,ﯾراد - م / ﻋﺑد اﻟﻌزﯾز اﻟﺳﻼب,ﺷرﻛﺔ اﻟﺳﻼب ﻟﻠﺗﺟﺎرة و اﻻﺳﺗ,Sarrdesign,Sarreguemines,اﻟدﻗﮭﻠﯾﺔ,اﻟﻣﻧﺻورة,ﺣﻰ ﻏرب: ﺗﻘﺳﯾم ﺳﺎﻣﯾﺔ اﻟﺟﻣل أﻣﺎم ﺣﻰ ﻏرب,050 2231580 / 2236500,6,1
ﻋﺑد اﻟﻌزﯾز اﻟﺳﻼب,ﯾراد - م / ﻋﺑد اﻟﻌزﯾز اﻟﺳﻼب,ﺷرﻛﺔ اﻟﺳﻼب ﻟﻠﺗﺟﺎرة و اﻻﺳﺗ,Sarrdesign,Sarreguemines,اﻟدﻗﮭﻠﯾﺔ,اﻟﻣﻧﺻورة,ﺷرﺑﯾن - ﺷﺎرع ﺳﯾدى ﻋﻣر اﻣﺎم ﻣﺳﺟد اﻟﺳﻼب,0503920181 - 0503921430,7,1
اﺣﻣد اﻟﺳﻼب,ﺳﻼب,اﺣﻣد اﻟ,Sarrdesign,Sarreguemines,اﻟﻘﺎھرة,اﻟﻣﻘطم,اﻟﻣﻌﺎدي: ﻣول اﻟﻣﻌﺎدى ﺗﻘﺎطﻊ اﻟداﺋرى ﻣﻊ اوﺗوﺳﺗراد اﻟﻣﻌﺎدي,27272785 / 27272780,8,1
اﺣﻣد اﻟﺳﻼب,اﺣﻣد اﻟﺳﻼب,,Sarrdesign,Sarreguemines,اﻟﻘﺎھرة,ﻣدﯾﻧﺔ ﻧﺻر,,19075,9,1
اﺣﻣد اﻟﺳﻼب,اﺣﻣد اﻟﺳﻼب,,Sarrdesign,Sarreguemines,اﻟﻘﺎھرة,ﻣدﯾﻧﺔ ﻧﺻر,,19075,10,1
