distributor_name,brand,governorate,area,address,phone
ﻋﺑد اﻟﻌزﯾز اﻟﺳﻼب,Sarrdesign,اﻟﻘﺎھرة,ﻣﺻر اﻟﺟدﯾدة,اﻟﻧزھﺔ اﻟﺟدﯾدة: 861 ﺟوزﯾف ﺗﯾﺗو، ﺑﺟوار اﻟﺳﻧدﺑﺎد - اﻟﻧزھﺔ اﻟﺟدﯾدة,22622588 / 26200106
ﻋﺑد اﻟﻌزﯾز اﻟﺳﻼب,Sarrdesign,اﻟﺟﯾزة,ش اﻟﺑﺣر اﻻﻋظم,اﻟﺟﯾزة: ﺷﺎرع اﻟﺑﺣر اﻻﻋظم,19601
ﻋﺑد اﻟﻌزﯾز اﻟﺳﻼب,Sarrdesign,اﻟﻘﺎھرة,اﻟﺗﺟﻣﻊ اﻟﺧﺎﻣس,اﻟﺗﺟﻣﻊ: ﺷﺎرع اﻟﺗﺳﻌﯾن أﻣﺎم اﻟﺟﺎﻣﻌﺔ اﻷﻣرﯾﻛﯾﺔ - اﻟﺗﺟﻣﻊ اﻟﺧﺎﻣس,19601
ﻋﺑد اﻟﻌزﯾز اﻟﺳﻼب,Sarrdesign,اﻟدﻗﮭﻠﯾﺔ,اﻟﻣﻧﺻورة,ﺟزﯾرة اﻟورد: ﺑرج اﻟﺳﻼب - ﺟزﯾرة اﻟورد,050 2389944 / 2397900
ﻋﺑد اﻟﻌزﯾز اﻟﺳﻼب,Sarrdesign,اﻟدﻗﮭﻠﯾﺔ,اﻟﻣﻧﺻورة,ﺟزﯾرة اﻟورد - اﻟﻣﺷﺎﯾﺔ اﻟﺳﻔﻠﯾﺔ اﻣﺎن ﻧﺎدى ﺟزﯾرة اﻟورد,502208262
ﻋﺑد اﻟﻌزﯾز اﻟﺳﻼب,Sarrdesign,اﻟدﻗﮭﻠﯾﺔ,اﻟﻣﻧﺻورة,ﺣﻰ ﻏرب: ﺗﻘﺳﯾم ﺳﺎﻣﯾﺔ اﻟﺟﻣل أﻣﺎم ﺣﻰ ﻏرب,050 2231580 / 2236500
ﻋﺑد اﻟﻌزﯾز اﻟﺳﻼب,Sarrdesign,اﻟدﻗﮭﻠﯾﺔ,اﻟﻣﻧﺻورة,ﺷرﺑﯾن - ﺷﺎرع ﺳﯾدى ﻋﻣر اﻣﺎم ﻣﺳﺟد اﻟﺳﻼب,0503920181 - 0503921430
اﺣﻣد اﻟﺳﻼب,Sarrdesign,اﻟﻘﺎھرة,اﻟﻣﻘطم,اﻟﻣﻌﺎدي: ﻣول اﻟﻣﻌﺎدى ﺗﻘﺎطﻊ اﻟداﺋرى ﻣﻊ اوﺗوﺳﺗراد اﻟﻣﻌﺎدي,27272785 / 27272780
اﺣﻣد اﻟﺳﻼب,Sarrdesign,اﻟﻘﺎھرة,ﻣدﯾﻧﺔ ﻧﺻر,ﻣدﯾﻧﺔ ﻧﺻر,19075
اﺣﻣد اﻟﺳﻼب,Sarrdesign,اﻟﻘﺎھرة,ﻣدﯾﻧﺔ ﻧﺻر,ﻣدﯾﻧﺔ ﻧﺻر,19075
اﺣﻣد اﻟﺳﻼب,Sarrdesign,اﻟﺟﯾزة,اﻛﺗوﺑر,اﻛﺗوﺑر,238383416
اﺣﻣد اﻟﺳﻼب,Sarrdesign,اﻟﺟﯾزة,اﻟﻣﮭﻧدﺳﯾن,اﻟﻣﮭﻧدﺳﯾن,19075
اﺣﻣد اﻟﺳﻼب,Sarrdesign,اﻟﻘﺎھرة,اﻟﺗﺟﻣﻊ,اﻟﺗﺟﻣﻊ,19075
اﺣﻣد اﻟﺳﻼب,Sarrdesign,اﻟﻘﺎھرة,اﻟﺗﺟﻣﻊ,اﻟﺗﺟﻣﻊ,19075
ﻣﺻطﻔﻰ اﻟﺳﻼب,Sarrdesign,اﻟﻘﺎھرة,ﻣدﯾﻧﺔ ﻧﺻر,ﻣدﯾﻧﺔ ﻧﺻر,22750505
ﻣﺻطﻔﻰ اﻟﺳﻼب,Sarrdesign,اﻟﻘﺎھرة,ﻣدﯾﻧﺔ ﻧﺻر,ﻣدﯾﻧﺔ ﻧﺻر,24099101
ﻣﺻطﻔﻰ اﻟﺳﻼب,Sarrdesign,اﻟﺟﯾزة,اﻟﻣﮭﻧدﺳﯾن,اﻟﻣﮭﻧدﺳﯾن,37617780
ﻣﺻطﻔﻰ اﻟﺳﻼب,Sarrdesign,اﻟﻘﺎھرة,ﻣﺻر اﻟﺟدﯾدة,ﻣﺻر اﻟﺟدﯾدة,24543568
ﻣﺻطﻔﻰ اﻟﺳﻼب,Sarrdesign,اﻟﺟﯾزة,اﻟﮭرم,اﻟﮭرم,03 5853386-87
ﻣﺻطﻔﻰ اﻟﺳﻼب,Sarrdesign,اﻟﺟﯾزة,اﻟﺷﯾﺦ زاﯾد,اﻟﺷﯾﺦ زاﯾد,19904
ﻣﺻطﻔﻰ اﻟﺳﻼب,Sarrdesign,اﻟﻘﺎھرة,ﻣدﯾﻧﺗﻰ,ﻣدﯾﻧﺗﻰ,19904
ﻣﺻطﻔﻰ اﻟﺳﻼب,Sarrdesign,اﻻﺳﻛﻧدرﯾﺔ,ﺟﻧﺎﻛﻠﯾس,ﺟﻧﺎﻛﻠﯾس,03 5852931 / 5844800
ﻣﺻطﻔﻰ اﻟﺳﻼب,Sarrdesign,اﻻﺳﻛﻧدرﯾﺔ,اﻟﺳﺎﺣل,اﻟﺳﺎﺣل,19904
ﻣﺻطﻔﻰ اﻟﺳﻼب,Sarrdesign,اﻻﺳﻛﻧدرﯾﺔ,اﻟﺳﺎﺣل,اﻟﺳﺎﺣل,19904
ﻣﺻطﻔﻰ اﻟﺳﻼب,Sarrdesign,اﻟﻐرﺑﯾﺔ,طﻧطﺎ,طﻧطﺎ,040 3339954
ﻣﺻطﻔﻰ اﻟﺳﻼب,Sarrdesign,ﺳوھﺎج,ﺳوھﺎج,ﺳوھﺎج,19904
اﻟﻣﺣﺟوب,Sarrdesign,اﻟﺟﯾزة,ﻓﯾﺻل,ﻓﯾﺻل,19948
اﻟﻣﺣﺟوب,Sarrdesign,اﻟﺟﯾزة,ش اﻟﺑﺣر اﻻﻋظم,ش اﻟﺑﺣر اﻻﻋظم,19948
اﻟﻣﺣﺟوب,Sarrdesign,اﻟﻘﺎھرة,ﻣدﯾﻧﺔ ﻧﺻر,ﻣدﯾﻧﺔ ﻧﺻر,19948
اﻟﻣﺣﺟوب,Sarrdesign,اﻟﻘﺎھرة,اﻟﺗﺟﻣﻊ اﻟﺧﺎﻣس,اﻟﺗﺟﻣﻊ اﻟﺧﺎﻣس,19948
اﻟﻣﺣﺟوب,Sarrdesign,اﻟﻘﺎھرة,اﻟﺷﯾﺦ زاﯾد,اﻟﺷﯾﺦ زاﯾد,19948
